scrape_time,date,site_id,venue_name,time_range,booked,total,status,remark
2026-05-07 22:30:40,2026-05-07,2,乒乓球厅-10号,07:00-08:00,0,1,不开放/已过期,
2026-05-07 23:00:54,2026-05-07,2,乒乓球厅-10号,07:00-08:00,0,1,不开放/已过期,
2026-05-07 23:30:49,2026-05-07,2,乒乓球厅-10号,07:00-08:00,0,1,不开放/已过期,
2026-05-07 20:30:33,2026-05-07,2,乒乓球厅-10号,08:00-09:00,0,1,不开放/已过期,
2026-05-07 21:00:42,2026-05-07,2,乒乓球厅-10号,08:00-09:00,0,1,不开放/已过期,
2026-05-07 21:30:35,2026-05-07,2,乒乓球厅-10号,08:00-09:00,0,1,不开放/已过期,
2026-05-07 22:00:47,2026-05-07,2,乒乓球厅-10号,08:00-09:00,0,1,不开放/已过期,
2026-05-07 22:30:40,2026-05-07,2,乒乓球厅-10号,08:00-09:00,0,1,不开放/已过期,
2026-05-07 23:00:54,2026-05-07,2,乒乓球厅-10号,08:00-09:00,0,1,不开放/已过期,
2026-05-07 23:30:49,2026-05-07,2,乒乓球厅-10号,08:00-09:00,0,1,不开放/已过期,
2026-05-07 20:30:33,2026-05-07,2,乒乓球厅-10号,09:00-10:00,0,1,不开放/已过期,
2026-05-07 21:00:42,2026-05-07,2,乒乓球厅-10号,09:00-10:00,0,1,不开放/已过期,
2026-05-07 21:30:35,2026-05-07,2,乒乓球厅-10号,09:00-10:00,0,1,不开放/已过期,
2026-05-07 22:00:47,2026-05-07,2,乒乓球厅-10号,09:00-10:00,0,1,不开放/已过期,
2026-05-07 22:30:40,2026-05-07,2,乒乓球厅-10号,09:00-10:00,0,1,不开放/已过期,
2026-05-07 23:00:54,2026-05-07,2,乒乓球厅-10号,09:00-10:00,0,1,不开放/已过期,
2026-05-07 23:30:49,2026-05-07,2,乒乓球厅-10号,09:00-10:00,0,1,不开放/已过期,
2026-05-07 20:30:33,2026-05-07,2,乒乓球厅-10号,10:00-11:00,1,1,已售/已满,
2026-05-07 21:00:42,2026-05-07,2,乒乓球厅-10号,10:00-11:00,1,1,已售/已满,
2026-05-07 21:30:35,2026-05-07,2,乒乓球厅-10号,10:00-11:00,1,1,已售/已满,
2026-05-07 22:00:47,2026-05-07,2,乒乓球厅-10号,10:00-11:00,1,1,已售/已满,
2026-05-07 22:30:40,2026-05-07,2,乒乓球厅-10号,10:00-11:00,1,1,已售/已满,
2026-05-07 23:00:54,2026-05-07,2,乒乓球厅-10号,10:00-11:00,1,1,已售/已满,
2026-05-07 23:30:49,2026-05-07,2,乒乓球厅-10号,10:00-11:00,1,1,已售/已满,
2026-05-07 20:30:33,2026-05-07,2,乒乓球厅-10号,11:00-12:00,1,1,已售/已满,
2026-05-07 21:00:42,2026-05-07,2,乒乓球厅-10号,11:00-12:00,1,1,已售/已满,
2026-05-07 21:30:35,2026-05-07,2,乒乓球厅-10号,11:00-12:00,1,1,已售/已满,
2026-05-07 22:00:47,2026-05-07,2,乒乓球厅-10号,11:00-12:00,1,1,已售/已满,
2026-05-07 22:30:40,2026-05-07,2,乒乓球厅-10号,11:00-12:00,1,1,已售/已满,
2026-05-07 23:00:54,2026-05-07,2,乒乓球厅-10号,11:00-12:00,1,1,已售/已满,
2026-05-07 23:30:49,2026-05-07,2,乒乓球厅-10号,11:00-12:00,1,1,已售/已满,
2026-05-07 20:30:33,2026-05-07,2,乒乓球厅-10号,12:00-12:55,1,1,已售/已满,
2026-05-07 21:00:42,2026-05-07,2,乒乓球厅-10号,12:00-12:55,1,1,已售/已满,
2026-05-07 21:30:35,2026-05-07,2,乒乓球厅-10号,12:00-12:55,1,1,已售/已满,
2026-05-07 22:00:47,2026-05-07,2,乒乓球厅-10号,12:00-12:55,1,1,已售/已满,
2026-05-07 22:30:40,2026-05-07,2,乒乓球厅-10号,12:00-12:55,1,1,已售/已满,
2026-05-07 23:00:54,2026-05-07,2,乒乓球厅-10号,12:00-12:55,1,1,已售/已满,
2026-05-07 23:30:49,2026-05-07,2,乒乓球厅-10号,12:00-12:55,1,1,已售/已满,
2026-05-07 20:30:33,2026-05-07,2,乒乓球厅-10号,12:55-13:50,1,1,已售/已满,
2026-05-07 21:00:42,2026-05-07,2,乒乓球厅-10号,12:55-13:50,1,1,已售/已满,
2026-05-07 21:30:35,2026-05-07,2,乒乓球厅-10号,12:55-13:50,1,1,已售/已满,
2026-05-07 22:00:47,2026-05-07,2,乒乓球厅-10号,12:55-13:50,1,1,已售/已满,
2026-05-07 22:30:40,2026-05-07,2,乒乓球厅-10号,12:55-13:50,1,1,已售/已满,
2026-05-07 23:00:54,2026-05-07,2,乒乓球厅-10号,12:55-13:50,1,1,已售/已满,
2026-05-07 23:30:49,2026-05-07,2,乒乓球厅-10号,12:55-13:50,1,1,已售/已满,
2026-05-07 20:30:33,2026-05-07,2,乒乓球厅-10号,14:00-15:00,0,1,不开放/已过期,
2026-05-07 21:00:42,2026-05-07,2,乒乓球厅-10号,14:00-15:00,0,1,不开放/已过期,
2026-05-07 21:30:35,2026-05-07,2,乒乓球厅-10号,14:00-15:00,0,1,不开放/已过期,
2026-05-07 22:00:47,2026-05-07,2,乒乓球厅-10号,14:00-15:00,0,1,不开放/已过期,
2026-05-07 22:30:40,2026-05-07,2,乒乓球厅-10号,14:00-15:00,0,1,不开放/已过期,
2026-05-07 23:00:54,2026-05-07,2,乒乓球厅-10号,14:00-15:00,0,1,不开放/已过期,
2026-05-07 23:30:49,2026-05-07,2,乒乓球厅-10号,14:00-15:00,0,1,不开放/已过期,
2026-05-07 20:30:33,2026-05-07,2,乒乓球厅-10号,15:00-16:00,0,1,不开放/已过期,
2026-05-07 21:00:42,2026-05-07,2,乒乓球厅-10号,15:00-16:00,0,1,不开放/已过期,
2026-05-07 21:30:35,2026-05-07,2,乒乓球厅-10号,15:00-16:00,0,1,不开放/已过期,
2026-05-07 22:00:47,2026-05-07,2,乒乓球厅-10号,15:00-16:00,0,1,不开放/已过期,
2026-05-07 22:30:40,2026-05-07,2,乒乓球厅-10号,15:00-16:00,0,1,不开放/已过期,
2026-05-07 23:00:54,2026-05-07,2,乒乓球厅-10号,15:00-16:00,0,1,不开放/已过期,
2026-05-07 23:30:49,2026-05-07,2,乒乓球厅-10号,15:00-16:00,0,1,不开放/已过期,
2026-05-07 20:30:33,2026-05-07,2,乒乓球厅-10号,16:00-17:00,0,1,不开放/已过期,
2026-05-07 21:00:42,2026-05-07,2,乒乓球厅-10号,16:00-17:00,0,1,不开放/已过期,
2026-05-07 21:30:35,2026-05-07,2,乒乓球厅-10号,16:00-17:00,0,1,不开放/已过期,
2026-05-07 22:00:47,2026-05-07,2,乒乓球厅-10号,16:00-17:00,0,1,不开放/已过期,
2026-05-07 22:30:40,2026-05-07,2,乒乓球厅-10号,16:00-17:00,0,1,不开放/已过期,
2026-05-07 23:00:54,2026-05-07,2,乒乓球厅-10号,16:00-17:00,0,1,不开放/已过期,
2026-05-07 23:30:49,2026-05-07,2,乒乓球厅-10号,16:00-17:00,0,1,不开放/已过期,
2026-05-07 20:30:33,2026-05-07,2,乒乓球厅-10号,17:00-18:00,0,1,不开放/已过期,
2026-05-07 21:00:42,2026-05-07,2,乒乓球厅-10号,17:00-18:00,0,1,不开放/已过期,
2026-05-07 21:30:35,2026-05-07,2,乒乓球厅-10号,17:00-18:00,0,1,不开放/已过期,
2026-05-07 22:00:47,2026-05-07,2,乒乓球厅-10号,17:00-18:00,0,1,不开放/已过期,
2026-05-07 22:30:40,2026-05-07,2,乒乓球厅-10号,17:00-18:00,0,1,不开放/已过期,
2026-05-07 23:00:54,2026-05-07,2,乒乓球厅-10号,17:00-18:00,0,1,不开放/已过期,
2026-05-07 23:30:49,2026-05-07,2,乒乓球厅-10号,17:00-18:00,0,1,不开放/已过期,
2026-05-07 20:30:33,2026-05-07,2,乒乓球厅-10号,18:30-19:30,0,1,不开放/已过期,
2026-05-07 21:00:42,2026-05-07,2,乒乓球厅-10号,18:30-19:30,0,1,不开放/已过期,
2026-05-07 21:30:35,2026-05-07,2,乒乓球厅-10号,18:30-19:30,0,1,不开放/已过期,
2026-05-07 22:00:47,2026-05-07,2,乒乓球厅-10号,18:30-19:30,0,1,不开放/已过期,
2026-05-07 22:30:40,2026-05-07,2,乒乓球厅-10号,18:30-19:30,0,1,不开放/已过期,
2026-05-07 23:00:54,2026-05-07,2,乒乓球厅-10号,18:30-19:30,0,1,不开放/已过期,
2026-05-07 23:30:49,2026-05-07,2,乒乓球厅-10号,18:30-19:30,0,1,不开放/已过期,
2026-05-07 20:30:33,2026-05-07,2,乒乓球厅-10号,19:30-20:30,0,1,不开放/已过期,
2026-05-07 21:00:42,2026-05-07,2,乒乓球厅-10号,19:30-20:30,0,1,不开放/已过期,
2026-05-07 21:30:35,2026-05-07,2,乒乓球厅-10号,19:30-20:30,0,1,不开放/已过期,
2026-05-07 22:00:47,2026-05-07,2,乒乓球厅-10号,19:30-20:30,0,1,不开放/已过期,
2026-05-07 22:30:40,2026-05-07,2,乒乓球厅-10号,19:30-20:30,0,1,不开放/已过期,
2026-05-07 23:00:54,2026-05-07,2,乒乓球厅-10号,19:30-20:30,0,1,不开放/已过期,
2026-05-07 23:30:49,2026-05-07,2,乒乓球厅-10号,19:30-20:30,0,1,不开放/已过期,
2026-05-07 20:30:33,2026-05-07,2,乒乓球厅-10号,20:30-21:30,0,1,可预约,
2026-05-07 21:00:42,2026-05-07,2,乒乓球厅-10号,20:30-21:30,0,1,可预约,
2026-05-07 21:30:35,2026-05-07,2,乒乓球厅-10号,20:30-21:30,0,1,不开放/已过期,
2026-05-07 22:00:47,2026-05-07,2,乒乓球厅-10号,20:30-21:30,0,1,不开放/已过期,
2026-05-07 22:30:40,2026-05-07,2,乒乓球厅-10号,20:30-21:30,0,1,不开放/已过期,
2026-05-07 23:00:54,2026-05-07,2,乒乓球厅-10号,20:30-21:30,0,1,不开放/已过期,
2026-05-07 23:30:49,2026-05-07,2,乒乓球厅-10号,20:30-21:30,0,1,不开放/已过期,
2026-05-07 20:30:33,2026-05-07,2,乒乓球厅-11号,07:00-08:00,0,1,不开放/已过期,
2026-05-07 21:00:42,2026-05-07,2,乒乓球厅-11号,07:00-08:00,0,1,不开放/已过期,
2026-05-07 21:30:35,2026-05-07,2,乒乓球厅-11号,07:00-08:00,0,1,不开放/已过期,
2026-05-07 22:00:47,2026-05-07,2,乒乓球厅-11号,07:00-08:00,0,1,不开放/已过期,
2026-05-07 22:30:40,2026-05-07,2,乒乓球厅-11号,07:00-08:00,0,1,不开放/已过期,
2026-05-07 23:00:54,2026-05-07,2,乒乓球厅-11号,07:00-08:00,0,1,不开放/已过期,
2026-05-07 23:30:49,2026-05-07,2,乒乓球厅-11号,07:00-08:00,0,1,不开放/已过期,
2026-05-07 20:30:33,2026-05-07,2,乒乓球厅-11号,08:00-09:00,0,1,不开放/已过期,
2026-05-07 21:00:42,2026-05-07,2,乒乓球厅-11号,08:00-09:00,0,1,不开放/已过期,
2026-05-07 21:30:35,2026-05-07,2,乒乓球厅-11号,08:00-09:00,0,1,不开放/已过期,
2026-05-07 22:00:47,2026-05-07,2,乒乓球厅-11号,08:00-09:00,0,1,不开放/已过期,
2026-05-07 22:30:40,2026-05-07,2,乒乓球厅-11号,08:00-09:00,0,1,不开放/已过期,
2026-05-07 23:00:54,2026-05-07,2,乒乓球厅-11号,08:00-09:00,0,1,不开放/已过期,
2026-05-07 23:30:49,2026-05-07,2,乒乓球厅-11号,08:00-09:00,0,1,不开放/已过期,
2026-05-07 20:30:33,2026-05-07,2,乒乓球厅-11号,09:00-10:00,0,1,不开放/已过期,
2026-05-07 21:00:42,2026-05-07,2,乒乓球厅-11号,09:00-10:00,0,1,不开放/已过期,
2026-05-07 21:30:35,2026-05-07,2,乒乓球厅-11号,09:00-10:00,0,1,不开放/已过期,
2026-05-07 22:00:47,2026-05-07,2,乒乓球厅-11号,09:00-10:00,0,1,不开放/已过期,
2026-05-07 22:30:40,2026-05-07,2,乒乓球厅-11号,09:00-10:00,0,1,不开放/已过期,
2026-05-07 23:00:54,2026-05-07,2,乒乓球厅-11号,09:00-10:00,0,1,不开放/已过期,
2026-05-07 23:30:49,2026-05-07,2,乒乓球厅-11号,09:00-10:00,0,1,不开放/已过期,
